k,Выбор Игрока А,Выбор Игрока В,Выигрыш игрока А при x1,Выигрыш игрока А при x2,Выигрыш игрока А при x3,Проигрыш игрока В при у1,Проигрыш игрока В при у2,Проигрыш игрока В при у3,Верхняя цена игры,Нижняя цена игры,Разница
1,0,0,1,14,14,1,17,18,14,1,13
2,1,0,2,28,28,15,23,34,14,7.5,6.5
3,1,0,3,42,42,29,29,50,14,9.667,4.333
4,1,0,4,56,56,43,35,66,14,8.75,4.333
5,1,1,21,62,70,57,41,82,14,8.2,4.333
6,2,1,38,68,84,71,55,95,14,9.167,4.333
7,2,1,55,74,98,85,69,108,14,9.857,4.143
8,2,1,72,80,112,99,83,121,14,10.375,3.625
9,2,1,89,86,126,113,97,134,14,10.778,3.222
10,2,1,106,92,140,127,111,147,14,11.1,2.9
11,2,1,123,98,154,141,125,160,14,11.364,2.636
12,2,1,140,104,168,155,139,173,14,11.583,2.417
13,2,1,157,110,182,169,153,186,14,11.769,2.231
14,2,1,174,116,196,183,167,199,14,11.929,2.071
15,2,1,191,122,210,197,181,212,14,12.067,1.933
16,2,1,208,128,224,211,195,225,14,12.188,1.812
17,2,1,225,134,238,225,209,238,14,12.294,1.706
18,2,1,242,140,252,239,223,251,14,12.389,1.611
19,2,1,259,146,266,253,237,264,14,12.474,1.526
20,2,1,276,152,280,267,251,277,14,12.55,1.45
21,2,1,293,158,294,281,265,290,14,12.619,1.381
22,2,1,310,164,308,295,279,303,14.091,12.682,1.318
23,0,1,327,170,322,296,296,321,14.217,12.87,1.13
24,0,0,328,184,336,297,313,339,14,12.375,1.13
25,2,0,329,198,350,311,327,352,14,12.44,1.13
26,2,0,330,212,364,325,341,365,14,12.5,1.13
27,2,0,331,226,378,339,355,378,14,12.556,1.13
28,2,0,332,240,392,353,369,391,14,12.607,1.13
29,2,0,333,254,406,367,383,404,14,12.655,1.13
30,2,0,334,268,420,381,397,417,14,12.7,1.13
31,2,0,335,282,434,395,411,430,14,12.742,1.13
32,2,0,336,296,448,409,425,443,14,12.781,1.13
33,2,0,337,310,462,423,439,456,14,12.818,1.13
34,2,0,338,324,476,437,453,469,14,12.853,1.13
35,2,0,339,338,490,451,467,482,14,12.886,1.114
36,2,0,340,352,504,465,481,495,14,12.917,1.083
37,2,0,341,366,518,479,495,508,14,12.946,1.054
38,2,0,342,380,532,493,509,521,14,12.974,1.026
39,2,0,343,394,546,507,523,534,14,13,1
40,2,0,344,408,560,521,537,547,14,13.025,0.975
41,2,0,345,422,574,535,551,560,14,13.049,0.951
